period,product,price,log_price,normalized_price
2017-05-01,WTI Crude Oil,48.48,3.881151341761059,0.6111832775290323
2017-05-01,UK Brent Crude Oil,50.33,3.9186013207882686,0.6255180728796963
2017-04-01,UK Brent Crude Oil,52.31,3.95718755738252,0.640287795568433
2017-04-01,WTI Crude Oil,51.06,3.9330014118133376,0.6310300214371393
2017-03-01,UK Brent Crude Oil,51.59,3.9433278552565585,0.6349826926349315
2017-03-01,WTI Crude Oil,49.33,3.8985324152456466,0.6178362620659633
2017-02-01,UK Brent Crude Oil,54.87,4.004966751070884,0.6585763228609266
2017-02-01,WTI Crude Oil,53.47,3.97912074896064,0.6486832024772279
2017-01-01,UK Brent Crude Oil,54.58,3.9996675152801924,0.6565479249139133
2017-01-01,WTI Crude Oil,52.5,3.960813169597578,0.641675577630633
2016-12-01,WTI Crude Oil,51.97,3.9506666290203505,0.6377917681741286
2016-12-01,UK Brent Crude Oil,53.31,3.9761239308346696,0.6475361050514126
2016-11-01,WTI Crude Oil,45.66,3.821222641101649,0.5882442617565623
2016-11-01,UK Brent Crude Oil,44.73,3.8006444174447567,0.5803674983386863
2016-10-01,UK Brent Crude Oil,49.52,3.9023766283763406,0.6193077183910202
2016-10-01,WTI Crude Oil,49.78,3.907613296939446,0.6213121673685972
2016-09-01,WTI Crude Oil,45.18,3.810654511039857,0.5841990797401739
2016-09-01,UK Brent Crude Oil,46.57,3.840956556994286,0.5957978479837437
2016-08-01,UK Brent Crude Oil,45.84,3.8251570724064843,0.5897502510532473
2016-08-01,WTI Crude Oil,44.72,3.8004208288468435,0.5802819149317772
2016-07-01,WTI Crude Oil,44.65,3.798854307322508,0.5796822946904027
2016-07-01,UK Brent Crude Oil,44.95,3.8055507609176296,0.5822455081915783
2016-06-01,UK Brent Crude Oil,48.25,3.876395827784995,0.6093630009519861
2016-06-01,WTI Crude Oil,48.76,3.8869103046130706,0.6133876460242906
2016-05-01,WTI Crude Oil,46.71,3.8439582745140166,0.5969468207592579
2016-05-01,UK Brent Crude Oil,46.74,3.844600329110712,0.5971925811438201
2016-04-01,WTI Crude Oil,40.75,3.7074558396868715,0.5446975400135254
2016-04-01,UK Brent Crude Oil,41.58,3.727619282429867,0.5524155370002705
